278,767,19969-60,163.603,Ton,,370.00,,131.00,132.00,,,
279,768,26287-60,7200.000,Kg,,0.70,,,264.00,,,
280,771,23557-60,2700.000,Kg,,1.64,,,561.00,,,
281,773,18988-60,1250.000,Pcs,,4.65,,,1558.00,,,
282,774,21199-127,5000.000,Kg,,0.16,,,94.00,,,
283,787,19969-60,169.425,Ton,,,,,,,,
284,788,19969-60,169.425,Ton,,390.00,,,,,,
285,790,19984-60,77.000,Tons,,,,,,,,
286,791,23562-60,65.500,Tons,,,,,,,,
287,793,19969-60,109.000,Tons,,,,,,,,
288,803,24940-60,21.000,Tons,,,,,,,,
289,806,2825-156,23.000,MT,,1065.00,,330.00,,,,
290,807,2819-156,2.000,MT,,15170.00,,4376.00,,,,
291,808,12328-60,2000.000,Kgs,,1.50,,591.00,,,,
292,809,27392-60,1.000,Set,,3890.00,,1286222.00,,,,
293,810,17924-60,1.000,Pcs,,690.00,,234125.00,,,,
294,811,26287-60,64.800,MT,,870.00,,273.00,,,,
295,832,19969-60,500.000,Ton,,440.00,,152.00,,,,
296,833,26382-60,5.000,MT,,1990.00,,597.00,,,,
297,834,26838-60,13.000,MT,,2090.00,,625.00,,,,
298,835,2724-60,1.000,Pcs,,7350.00,,439897.00,,,,
299,838,18988-60,1250.000,Pcs,,4.60,,1356.00,,,,
300,839,26287-60,24000.000,Kgs,,0.65,,235.00,,,,
301,840,26487-60,5400.000,Kg,,2.01,,,,,,
302,841,19677-60,360.000,Kg,,13.82,,,,,,
303,842,26486-60,5400.000,Kg,,0.93,,,,,,
304,843,26558-60,117.000,Pcs,,10.60,,,,,,
305,844,15598-60,368.000,Pcs,,4.86,,,,,,
306,845,25014-60,2500.000,Pcs,,2.46,,780.00,,,,
307,846,24927-60,504.000,Pcs,,6.02,,2399.00,,,,
308,847,13940-60,1000.000,Pcs,,6.94,,2054.00,,,,
309,865,14846-60,50.000,Pcs,,125.00,,38367.00,,,,
310,866,23558-60,6.000,Ton,,1300.00,,455.00,,,,
311,868,2823-60,3.000,Ton,,770.00,,302.00,,,,
312,869,12571-60,120.000,Pcs,,11.62,,4230.00,,,,
313,870,16781-60,3045.000,Pcs,,6.50,,,,,,
314,871,16772-60,500.000,Pcs,,3.28,,,,,,
315,876,25655-60,4000.000,Pcs,,12.56,,,,,,
316,896,12568-60,228.000,Pcs,,6.80,,,,,,
317,897,16775-60,256.000,Pcs,,1.70,,815.00,,,,
318,898,16772-60,720.000,Pcs,,1.60,,617.00,,,,
319,899,16784-60,110.000,Pcs,,1.90,,969.00,,,,
320,900,2818-156,10.000,Ton,,,,,,,,
321,901,19572-60,300.000,Kg,,85.50,,3664.00,,,,
322,902,19571-60,700.000,Kg,,85.50,,3664.00,,,,
